2018-07-27 10:01:26 status half-installed libcap-ng0:armhf 0.7.7-3+b1
2018-07-27 10:01:26 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2018-07-27 10:01:26 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2018-07-27 10:01:26 install libgcrypt20:armhf <none> 1.7.6-2+deb9u3
2018-07-27 10:01:26 status half-installed libgcrypt20:armhf 1.7.6-2+deb9u3
2018-07-27 10:01:27 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2018-07-27 10:01:27 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2018-07-27 10:01:27 install libgpg-error0:armhf <none> 1.26-2
2018-07-27 10:01:27 status half-installed libgpg-error0:armhf 1.26-2
2018-07-27 10:01:28 status unpacked libgpg-error0:armhf 1.26-2
2018-07-27 10:01:28 status unpacked libgpg-error0:armhf 1.26-2
2018-07-27 10:01:28 install libselinux1:armhf <none> 2.6-3+b3
2018-07-27 10:01:28 status half-installed libselinux1:armhf 2.6-3+b3
2018-07-27 10:01:28 status unpacked libselinux1:armhf 2.6-3+b3
2018-07-27 10:01:28 status unpacked libselinux1:armhf 2.6-3+b3
2018-07-27 10:01:28 install libsemanage-common:all <none> 2.6-2
2018-07-27 10:01:28 status half-installed libsemanage-common:all 2.6-2
2018-07-27 10:01:29 status unpacked libsemanage-common:all 2.6-2
2018-07-27 10:01:29 status unpacked libsemanage-common:all 2.6-2
2018-07-27 10:01:29 install libsemanage1:armhf <none> 2.6-2
2018-07-27 10:01:29 status half-installed libsemanage1:armhf 2.6-2
2018-07-27 10:01:29 status unpacked libsemanage1:armhf 2.6-2
2018-07-27 10:01:29 status unpacked libsemanage1:armhf 2.6-2
2018-07-27 10:01:29 install libsepol1:armhf <none> 2.6-2
2018-07-27 10:01:29 status half-installed libsepol1:armhf 2.6-2
2018-07-27 10:01:30 status unpacked libsepol1:armhf 2.6-2
2018-07-27 10:01:30 status unpacked libsepol1:armhf 2.6-2
2018-07-27 10:01:30 install lsb-base:all <none> 9.20161125
2018-07-27 10:01:30 status half-installed lsb-base:all 9.20161125
2018-07-27 10:01:30 status unpacked lsb-base:all 9.20161125
2018-07-27 10:01:30 status unpacked lsb-base:all 9.20161125
2018-07-27 10:01:31 install liblz4-1:armhf <none> 0.0~r131-2+b1
2018-07-27 10:01:31 status half-installed liblz4-1:armhf 0.0~r131-2+b1
2018-07-27 10:01:31 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2018-07-27 10:01:31 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2018-07-27 10:01:31 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2018-07-27 10:01:31 status half-configured mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:31 status unpacked mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:31 status half-installed mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:31 status half-installed mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:31 status unpacked mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:31 status unpacked mawk:armhf 1.3.3-17+b3
2018-07-27 10:01:32 install libncursesw5:armhf <none> 6.0+20161126-1+deb9u2
2018-07-27 10:01:32 status half-installed libncursesw5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:32 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:32 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:32 install libtinfo5:armhf <none> 6.0+20161126-1+deb9u2
2018-07-27 10:01:32 status half-installed libtinfo5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2018-07-27 10:01:33 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2018-07-27 10:01:34 install ncurses-bin:armhf <none> 6.0+20161126-1+deb9u2
